customer_id,Segment
1387,At Risk
1388,Potential Loyalist
1389,Loyal Customers
1390,Loyal Customers
1391,New Customers
1392,New Customers
1393,New Customers
1394,At Risk
1395,New Customers
1396,Loyal Customers
1397,Potential Loyalist
1398,Potential Loyalist
1399,New Customers
1400,Potential Loyalist
1401,New Customers
1402,Potential Loyalist
1403,At Risk
1404,Loyal Customers
1405,Loyal Customers
1406,Potential Loyalist
1407,Loyal Customers
1408,New Customers
1409,Potential Loyalist
1410,Loyal Customers
1411,Potential Loyalist
1412,At Risk
1413,Potential Loyalist
1414,New Customers
1415,New Customers
1416,At Risk
1417,Potential Loyalist
1418,Potential Loyalist
1419,New Customers
1420,New Customers
1421,Potential Loyalist
1422,Potential Loyalist
1423,Potential Loyalist
1424,New Customers
1425,New Customers
1426,Potential Loyalist
1427,Potential Loyalist
1428,Loyal Customers
1429,New Customers
1430,New Customers
1431,New Customers
1432,Potential Loyalist
1433,At Risk
1434,At Risk
1435,Potential Loyalist
1436,Potential Loyalist
1437,At Risk
1438,Loyal Customers
1439,New Customers
1440,Potential Loyalist
1441,At Risk
1442,New Customers
1443,Loyal Customers
1444,New Customers
1445,Potential Loyalist
1446,Loyal Customers
1447,Potential Loyalist
1448,At Risk
1449,Potential Loyalist
1450,Potential Loyalist
1451,Potential Loyalist
1452,Potential Loyalist
1453,Potential Loyalist
1454,New Customers
1455,New Customers
1456,New Customers
1457,Potential Loyalist
1458,At Risk
1459,New Customers
1460,Loyal Customers
1461,Potential Loyalist
1462,New Customers
1463,Potential Loyalist
1464,Potential Loyalist
1465,New Customers
1466,New Customers
1467,Potential Loyalist
1468,Potential Loyalist
1469,Potential Loyalist
1470,Loyal Customers
1471,New Customers
1472,Potential Loyalist
1473,Loyal Customers
1474,New Customers
1475,Loyal Customers
1476,New Customers
1477,Loyal Customers
1478,Potential Loyalist
1479,New Customers
1480,Loyal Customers
1481,Potential Loyalist
1482,Loyal Customers
1483,Potential Loyalist
1484,New Customers
1485,New Customers
1486,New Customers
1487,New Customers
1488,New Customers
